likes,body,url
12961,"ssshhhiiittt! - rawlove (2023)

звук: [id331496660|андрей] 
обложка: [id520066086|лиза]",https://sun9-40.userapi.com/impg/NikqA9XWg2Xle2zQYVKKfAYSr_kjcjoQXULOZg/XnG4NXhg5jE.jpg?size=510x510&quality=95&sign=6925a79e56053f9cb3cc000479d20ec5&c_uniq_tag=2euZlxA4lqF_s8DoL-u8CG8up7ucmks6z336E6_bSE8&type=album
4155,"Пройдя путь от «Первой Жизни» до «RAWLOVE», мы подошли ближе к свету, проведя за собой множество потерянных сердец. Мы хотим запечатлеть это в трёх самых масштабных и ключевых для нас концертах.

[club223339578|7 февраля — Нижний Новгород] 
[club222182113|10 февраля — Москва] 
[club222182164|14 февраля — Санкт-Петербург]

Билеты: ssshhhiiittt.ru",https://sun10-2.userapi.com/impg/EwTdgUawaifH_QBHNOLRmZ-KGJdG-fQjIEArvw/mRcWDIGy0kI.jpg?size=1280x1280&quality=96&sign=7562169cc9eacc596d10bd8993ed0a6b&c_uniq_tag=fbbzccCTVAECNJbN1hNTyxjjJhyNGjhsYHghOfobjcY&type=album
3537,Как мы записывали альбом rawlove? Узнаете в новом шоу «Утро в городе»,https://sun10-2.userapi.com/impg/EwTdgUawaifH_QBHNOLRmZ-KGJdG-fQjIEArvw/mRcWDIGy0kI.jpg?size=1280x1280&quality=96&sign=7562169cc9eacc596d10bd8993ed0a6b&c_uniq_tag=fbbzccCTVAECNJbN1hNTyxjjJhyNGjhsYHghOfobjcY&type=album
6539,"Привет каждому живому сердцу! 

Недавно мы закончили наш летний тур и я благодарен каждому, кто был на нашем музыкальном ритуале. Вместе мы посадили столько красивых и нужных цветков в каждом городе. Семена этих цветков ветер разнес за пределы площадок делая мир капельку естественнее. Спасибо, друзья, за ваши ручки! За ваши светлые улыбки, за слэмы и хороводы, за искренность ваших чувств на концертах. Мы прочитали все ваши записки и сохранили все ваши милые подарки. Это очень тепло. Знаете, я передумал менять название группы
SHOW MUST GO ON! 

Мы продолжаем познавать музыку, мир и себя, отдавая результат каждому кто в нем нуждается. Мы хотим посадить больше цветков. 

Делитесь фотографиями/видосами с летнего тура в комментариях под этим постом.

фото: [id7863975|юлия]",https://sun9-66.userapi.com/impg/8nU0b57mFwqS55OcTYsTIXojZ2B-k2lyq2dyWg/viVFM_WiVEc.jpg?size=510x809&quality=95&sign=ca19e01864feec37a638ba3f4201ec29&c_uniq_tag=bWk4xYcvXtbV07scw9ffWfltkRr1iPOcoVf2ek0T1w8&type=album
2527,"[club220828395|12 августа - Самара - «КЗ СИГНАЛ»]
 
Билеты: ssshhhiiittt.ru 
 
До встречи!",https://sun9-41.userapi.com/impg/-vIQX879mo2DLsu5ejR75eosVGXwFdWliQ3w-g/wvsnc0SRG7M.jpg?size=1280x1280&quality=96&sign=ae49340e8c3bf2788fb4da3e2361bf83&c_uniq_tag=bNEGCy-W0zbCMllx8LJ9SGrroH9qaMtVfWhm-0Lo1m8&type=album
8224,"Мы отправляемся в тёплое лето с новой музыкой. Приходите на наши концерты, друзья. Альбом RAWLOVE скоро будет закончен.

[club220159814|17 июля - Ярославль - Джао Да]
[club220175035|19 июля - Тула - Backstage]
[club220175366|22 июля - Москва - VK Музыка Summer Stage]
[club220175665|25 июля - Тверь - Zerkalo]
[club220175781|27 июля - Санкт-Петербург - Roof Place]
[club220175868|2 авг - Воронеж - Palazzo]
[club220175988|4 авг - Ростов - Кроп Арена]
[club220176149|5 авг - Краснодар - Кроп Арена]
[club220176235|7 авг - Ставрополь - Abricos Arena]
[club220176317|10 авг - Волгоград - Кроп Арена]
[club220176408|16 авг - Казань - Big Twin Arena]
[club220176481|18 авг - Уфа - Тинькофф Холл]
[club220176586|20 авг - Екатеринбург - Свобода]
[club220176694|22 авг - Тюмень - Дом культуры]

Билеты: ssshhhiiittt.ru

До встречи!",https://sun9-63.userapi.com/impg/Sx2lqSONHO8GF51X7CfEwakVa6o15I3NklcSoQ/8rFvMAtNF7A.jpg?size=510x361&quality=95&sign=bfdc04e54da1545ca5c2a9b318e7bb19&c_uniq_tag=KCbf1pNTetWrRi0DVIZiVcscC5jKF7tFbXVjSXjVbgM&type=album
11838,"ssshhhiiittt! - но ты (2023) 

звук: [id331496660|андрей] 
обложка: [id520066086|лиза] 

на всех площадках: https://vk.cc/cmmjPV",https://sun9-31.userapi.com/impg/xPZ1PRptWCo8cKAtt006UrHtRYnBiI10dhVewQ/8_WzK8Vsp0E.jpg?size=510x510&quality=95&sign=b49875b23a38d50d8ebcc55bdafb61ae&c_uniq_tag=tERp9r9o8IFo7pHTFSjksnGYl47HU_SqLqWSk-RWR6g&type=album
10283,"Привет!
Мы сделали кайфовые шарфы для вас. 

магазин: ssshhhiiittt.ru",https://sun9-16.userapi.com/impg/MK3ZF9HGMEo49KktVTvXYai5qZONHzx4Ied_gA/1CpIu8tQ2s4.jpg?size=510x510&quality=95&sign=8babe73dfd8858ca65065ff0b11c70eb&c_uniq_tag=Osbw5QNGAQQT1OE3bx2iqv7FaD0nscIxaAcgjF3edk8&type=album
4581,"Друзья у нас хорошие новости! 

[club216470434|26 января - Алматы - Zhest] (Дополнительный концерт)
[club217755292|10 февраля - Ереван - TUF]
[club217755559|12 февраля - Тбилиси - BUNKER]

Билеты: ssshhhiiittt.ru

До встречи!",https://sun9-51.userapi.com/impg/MP2S2UUX6vNB526pfwBlhWravaZy1RLlwaRnAg/BxtA2pc0Ua4.jpg?size=510x510&quality=95&sign=65a7500ca227b2eea22a2bf10cc27264&c_uniq_tag=mV7LdcKMb1ryQOtJG5PeP1xGWGqC2Su_S3IpgNdLiGc&type=album
2478,"ssshhhiiittt! 2022
видео: [id49086808|Антон Бодунов]",https://sun9-51.userapi.com/impg/MP2S2UUX6vNB526pfwBlhWravaZy1RLlwaRnAg/BxtA2pc0Ua4.jpg?size=510x510&quality=95&sign=65a7500ca227b2eea22a2bf10cc27264&c_uniq_tag=mV7LdcKMb1ryQOtJG5PeP1xGWGqC2Su_S3IpgNdLiGc&type=album
